system:index,NO2_area_mean_mol_per_m2,NO2_population_weighted_exposure_mol_per_m2,end_date,population_year_used,port_name,start_date,total_population,year,.geo
0000000000000000000e_6,9.822907916778632E-5,1.0902001526674911E-4,2025-01-01,2020,Lianyungang,2024-01-01,2031.1424781392318,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000e_7,1.0968157331936114E-4,1.2056972378398044E-4,2026-01-01,2020,Lianyungang,2025-01-01,2031.1424781392318,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000f_0,3.426659894572675E-5,3.591293889099339E-5,2019-01-01,2018.0,Zhanjiang,2018-12-05,2099.8133876332467,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000f_1,3.030319529392267E-5,3.415773388672964E-5,2020-01-01,2019.0,Zhanjiang,2019-01-01,2126.364122839476,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000f_2,2.9360042798407406E-5,3.302709200996601E-5,2021-01-01,2020.0,Zhanjiang,2020-01-01,2153.184288708718,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000f_3,3.3484744670603406E-5,3.933135824992191E-5,2022-01-01,2020,Zhanjiang,2021-01-01,2153.184288708718,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000f_4,3.192868789989435E-5,3.6746663838880205E-5,2023-01-01,2020,Zhanjiang,2022-01-01,2153.184288708718,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000f_5,3.255081543664776E-5,3.6492812592268615E-5,2024-01-01,2020,Zhanjiang,2023-01-01,2153.184288708718,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000f_6,3.271145563255719E-5,3.6556671907862384E-5,2025-01-01,2020,Zhanjiang,2024-01-01,2153.184288708718,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000f_7,3.333942801744313E-5,3.705503377090471E-5,2026-01-01,2020,Zhanjiang,2025-01-01,2153.184288708718,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000010_0,1.0087224338688814E-4,1.2091504506931783E-4,2019-01-01,2018.0,Zhoushan,2018-12-05,1844.4124055587336,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000010_1,7.131246315526434E-5,1.0616432696613568E-4,2020-01-01,2019.0,Zhoushan,2019-01-01,1887.255588939334,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000010_2,6.668136500969438E-5,1.0437438609922807E-4,2021-01-01,2020.0,Zhoushan,2020-01-01,1931.1073932640988,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000010_3,1.0206609578041217E-4,1.5598507044940215E-4,2022-01-01,2020,Zhoushan,2021-01-01,1931.1073932640988,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000010_4,6.875983338447595E-5,1.073631630606682E-4,2023-01-01,2020,Zhoushan,2022-01-01,1931.1073932640988,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000010_5,7.973778470532402E-5,1.1846731335169502E-4,2024-01-01,2020,Zhoushan,2023-01-01,1931.1073932640988,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000010_6,7.61895926139328E-5,1.0144923624620668E-4,2025-01-01,2020,Zhoushan,2024-01-01,1931.1073932640988,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000010_7,7.808406164951377E-5,1.035777457334326E-4,2026-01-01,2020,Zhoushan,2025-01-01,1931.1073932640988,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000011_0,1.3482124707722395E-5,1.266607533757424E-5,2019-01-01,2018.0,Lhokseumawe,2018-12-05,315.3966857426453,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
