system:index,SO2_area_mean_mol_per_m2,SO2_population_weighted_exposure_mol_per_m2,end_date,population_year_used,port_name,start_date,total_population,year,.geo
0000000000000000000d_6,1.4861308641508006E-4,1.490194537691254E-4,2025-01-01,2020,Mongla,2024-01-01,3902.128192957066,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d_7,1.0958760771918221E-4,1.1285257476962924E-4,2026-01-01,2020,Mongla,2025-01-01,3902.128192957066,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000e_0,3.064957736957213E-4,2.849605523488455E-4,2019-01-01,2018.0,Lianyungang,2018-12-05,2042.33026314816,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000e_1,1.9306252862088033E-4,1.9876463363148288E-4,2020-01-01,2019.0,Lianyungang,2019-01-01,2036.3950379319633,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000e_2,2.579026459468983E-4,2.488290716016303E-4,2021-01-01,2020.0,Lianyungang,2020-01-01,2031.1424781392318,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000e_3,2.8436366480396187E-4,2.730488744937861E-4,2022-01-01,2020,Lianyungang,2021-01-01,2031.1424781392318,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000e_4,2.265710559171997E-4,2.1797951787698994E-4,2023-01-01,2020,Lianyungang,2022-01-01,2031.1424781392318,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000e_5,2.714805903394778E-4,2.7180749385448914E-4,2024-01-01,2020,Lianyungang,2023-01-01,2031.1424781392318,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000e_6,2.6077343922230876E-4,2.58484064336124E-4,2025-01-01,2020,Lianyungang,2024-01-01,2031.1424781392318,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000e_7,1.1605138653436002E-4,1.2352517931537367E-4,2026-01-01,2020,Lianyungang,2025-01-01,2031.1424781392318,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000f_0,5.65312448698368E-5,8.7200025730938E-5,2019-01-01,2018.0,Zhanjiang,2018-12-05,2099.8133876332467,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000f_1,1.0945518720475896E-5,1.5857616425856567E-5,2020-01-01,2019.0,Zhanjiang,2019-01-01,2126.364122839476,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000f_2,3.62261121213339E-5,3.62861705850958E-5,2021-01-01,2020.0,Zhanjiang,2020-01-01,2153.184288708718,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000f_3,3.8488780502424784E-5,3.481951272973551E-5,2022-01-01,2020,Zhanjiang,2021-01-01,2153.184288708718,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000f_4,5.156860429715489E-5,5.220800795713209E-5,2023-01-01,2020,Zhanjiang,2022-01-01,2153.184288708718,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000f_5,2.386906496428755E-5,1.8109502826869703E-5,2024-01-01,2020,Zhanjiang,2023-01-01,2153.184288708718,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000f_6,1.5399154234261663E-5,1.478560388418501E-5,2025-01-01,2020,Zhanjiang,2024-01-01,2153.184288708718,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000f_7,2.3170808822945943E-5,2.753351903876095E-5,2026-01-01,2020,Zhanjiang,2025-01-01,2153.184288708718,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000010_0,1.1990591787698579E-4,1.7556539053302368E-4,2019-01-01,2018.0,Zhoushan,2018-12-05,1844.4124055587336,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000010_1,8.319933278265401E-5,1.002784875159599E-4,2020-01-01,2019.0,Zhoushan,2019-01-01,1887.255588939334,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000010_2,9.140891279006261E-5,1.0318989254975847E-4,2021-01-01,2020.0,Zhoushan,2020-01-01,1931.1073932640988,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000010_3,1.7391156106710771E-4,2.077203141853652E-4,2022-01-01,2020,Zhoushan,2021-01-01,1931.1073932640988,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000010_4,1.0208420892894067E-4,9.746806062442926E-5,2023-01-01,2020,Zhoushan,2022-01-01,1931.1073932640988,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000010_5,1.3212238745236376E-4,1.624158642296092E-4,2024-01-01,2020,Zhoushan,2023-01-01,1931.1073932640988,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000010_6,1.0926291142283596E-4,1.2381127936052997E-4,2025-01-01,2020,Zhoushan,2024-01-01,1931.1073932640988,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000010_7,5.5529109267757714E-5,7.84480087794007E-5,2026-01-01,2020,Zhoushan,2025-01-01,1931.1073932640988,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000011_0,-2.4750143525331848E-6,-3.807263889258171E-6,2019-01-01,2018.0,Lhokseumawe,2018-12-05,315.3966857426453,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000011_1,-9.779565124469614E-6,-1.5218829459391729E-5,2020-01-01,2019.0,Lhokseumawe,2019-01-01,317.32257927771576,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
